Tweet_count,Username,Text,Created_At,Retweets,Views,Likes
7,Old two💜,"都在挖sui这个代币，记得一定要挖卖提，代币太多了，Mac一小时大概60RMB

链接：
https://t.co/qgMAwQN8Ne
推荐使用 #OKXWeb3 钱包
传送门：https://t.co/rGYRCvUIjC

参与步骤：
1️⃣右上角创建钱包
2️⃣复制私钥保存在OKX钱包
3️⃣充值2sui左右
4️⃣开始挖矿

如何卖
OK钱包导入私钥后在添加合约地址直接交易 https://t.co/qJEOey9eM2",Fri Oct 04 02:54:55 +0000 2024,151,607156,457
8,Web3｜龙猫,"🔥听说大A火了，KTV嫩模都是玩A股的先选，消费水平直线上升，飞机升舱，按摩质量都有明显提升

你错过了这波A股的盛宴了吗 https://t.co/iuacWzMw8i",Mon Sep 30 05:20:37 +0000 2024,0,44653,33
9,Judo.eth,"GM Web3! ❤️

Following everyone who says it back! 🤝 https://t.co/qSOn2sBX2U",Sun Oct 06 08:38:42 +0000 2024,37,26673,821
10,亚洲金融 Asia Finance,#巴厘岛，甚至东南亚，别再去混了。巴厘岛命案中的男性死者25岁，女性死者22岁，分别来自江西和广西。这两个都是币圈的。几个月前，刚有一群在巴厘岛住了四五年俄罗斯乌克兰Web3创业者们，离开巴厘岛去了欧洲。房子都不处理人先跑。创业者们在那里频遭抢劫，逼问银行和加密账号密码，然后折磨和杀害… https://t.co/ScenQNzrPd,Fri May 05 15:01:36 +0000 2023,88,657260,531
11,WILSON,"Few years ago they used to call me “that batcher kid” cus we used to stay in a one room batcher house with a leaking roof 

Fast forward to today I am now the owner of a 5bedroom duplex with BQ!

Web3 did!
Airdrop did!
God did! https://t.co/QG41P2wbli",Mon Sep 02 07:23:13 +0000 2024,4579,1901921,29184
12,滝沢ガレソ,"ノーブラでサッカー観戦した女優が激怒「みな試合ではなく私の胸の話ばかりしていてウンザリ」@スペイン
https://t.co/5QAVmSjLEY
▼主な反応
・これは試合どころじゃない
・インスタフォロワー400万人すげえ
・ただただ、感謝
・日本でもノーブラ流行らんかな
・ラ・リーガじゃなくてチ・クービじゃん https://t.co/xPfLimKSMJ",Thu Sep 28 05:09:07 +0000 2023,2208,17947009,33871
13,ThuanCapital.eth,"Sony Block Solutions Labs (Sony BSL) đã ra mắt Soneium Minato, một giải pháp layer-2 trên Ethereum, để thu hút nhà phát triển xây dựng ứng dụng Web3.

Soneium Minato: Testnet công khai giúp nhà phát triển khám phá mạng lưới trước khi ra mắt chính thức, cung cấp môi https://t.co/CAEONAwL91",Wed Aug 28 14:38:07 +0000 2024,2,9848,71
14,DANY,"GOOD MORNING WEB3!!

REPLY THIS THEN I’LL FOLLOW YOU BACK! https://t.co/0RYeMJzjjS",Tue Oct 08 05:30:58 +0000 2024,15,6527,413
15,Myth 🪁,"Good morning Web3 🪄

If you reply, I'm following you 🫧 https://t.co/vraAtMxzrC",Tue Oct 08 09:10:09 +0000 2024,15,4137,279
16,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"我原本以为吧，《黑神话悟空》火了以后，

那些做元宇宙、web3游戏、gamefi等骗钱垃圾项目的大傻逼们，终于可以消停消停了，收一收嘴脸了，找个地方躲一躲，

结果没想到，这群web3的臭傻逼们，还他妈直接自豪起来了😅 https://t.co/7xGfYeguxS",Tue Aug 20 06:51:37 +0000 2024,8,250934,262
17,The Roundtable - Web3/NFT/Crypto,"The only thing missing from this rally? 

A rocket launch 🚀 https://t.co/I4jUfjHwUc",Sun Oct 06 14:37:41 +0000 2024,24,10310,228
18,Crypto Doggy 叫我狗总,日本最大的WEB3应用是什么 https://t.co/JO2hnZyEVR,Fri Aug 02 07:12:31 +0000 2024,0,10213,2
19,Ryuzaki S◎L,"🚀 TOKO is LIVE! 🚀

@Tokosocialfi is an innovative project that combines elements of social influence, web3 gaming, and blockchain technology to create a captivating universe where users can train, fight, and wield creatures in thrilling battles. 

Here’s the contract address: https://t.co/SlZmMffZyX",Wed Oct 09 13:24:00 +0000 2024,2,35,4
20,Maki 🌷,"$3 || 39.000 IDR ~ GIVEAWAY 🔮⚔️

• RT like &amp; Follow @delegate_web3 https://t.co/e1phiRwA2B",Wed Oct 09 13:18:13 +0000 2024,94,483,78
21,Kuroro Beasts,"Announcing our $2.5 million strategic round, with @SanctorCapital and @animocabrands as main investors, and featuring some of the top founders in the web3 gaming space. https://t.co/hYDNh50y3A",Wed May 29 22:05:07 +0000 2024,46138,426943,51936
22,O G,The Best Couples in Web3 https://t.co/0xaEGGszvr,Tue Oct 08 19:00:35 +0000 2024,14,47152,221
23,lamarck,@Gatsobey @lucidbtc @chivas_web3 I like the artwork :/ https://t.co/Gwu8ncLtAR,Wed Oct 09 13:24:40 +0000 2024,0,2,0
24,CoinMarketCap,"Healthy competition fuels innovation, and we're excited to see major players stepping into Web3! 🚀

Keep an eye out for the highly anticipated launch of $GMRX on March 26th. 
#Web3 #GMRX #Gamefi https://t.co/XSmNtsnfUM",Wed Mar 20 13:00:41 +0000 2024,5899,464360,9139
25,All Universe,"🎉 As the weekend draws near, All Universe is here to help you embrace new opportunities! 

💼 Dive into the convergence of innovation and wealth, seizing every chance to achieve greatness!

#AllUniverse $UNV #Metaverse #web3 https://t.co/sZMGoziLoi",Mon Sep 30 06:41:49 +0000 2024,570,8869,543
26,Nina 小耳朵,"虽然大熊气势汹汹
但遇见了Web3小饭局 和小伙伴们多吃两碗以后血条满了😋😋 https://t.co/8QUIz8aaIm",Sat Jun 10 11:22:16 +0000 2023,1,23998,71
27,Myth 🪁,"Good morning Web3 🪄

If you reply, I'm following you 🫧 https://t.co/vraAtMxzrC",Tue Oct 08 09:10:09 +0000 2024,15,4138,279
28,DANY,"GOOD MORNING WEB3!!

REPLY THIS THEN I’LL FOLLOW YOU BACK! https://t.co/0RYeMJzjjS",Tue Oct 08 05:30:58 +0000 2024,15,6530,413
29,Web3｜龙猫,"🔥听说大A火了，KTV嫩模都是玩A股的先选，消费水平直线上升，飞机升舱，按摩质量都有明显提升

你错过了这波A股的盛宴了吗 https://t.co/iuacWzMw8i",Mon Sep 30 05:20:37 +0000 2024,0,44671,33
30,Judo.eth,"GM Web3! ❤️

Following everyone who says it back! 🤝 https://t.co/qSOn2sBX2U",Sun Oct 06 08:38:42 +0000 2024,37,26675,821
31,滝沢ガレソ,"ノーブラでサッカー観戦した女優が激怒「みな試合ではなく私の胸の話ばかりしていてウンザリ」@スペイン
https://t.co/5QAVmSjLEY
▼主な反応
・これは試合どころじゃない
・インスタフォロワー400万人すげえ
・ただただ、感謝
・日本でもノーブラ流行らんかな
・ラ・リーガじゃなくてチ・クービじゃん https://t.co/xPfLimKSMJ",Thu Sep 28 05:09:07 +0000 2023,2208,17947010,33871
32,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"这种满嘴Web3 + AI的人，相当一批都是精神有问题的人，可能存在严重的妄想症。

我怀疑他们到底知不知道自己说的东西到底是什么。 https://t.co/9kNFLAGOjg",Wed Nov 15 07:58:18 +0000 2023,1,211353,54
33,Suhail Kakar,every single web3 website ever https://t.co/NUrlnHoctC,Tue Aug 13 10:17:13 +0000 2024,302,436850,5196
34,WILSON,"Few years ago they used to call me “that batcher kid” cus we used to stay in a one room batcher house with a leaking roof 

Fast forward to today I am now the owner of a 5bedroom duplex with BQ!

Web3 did!
Airdrop did!
God did! https://t.co/QG41P2wbli",Mon Sep 02 07:23:13 +0000 2024,4578,1901939,29187
35,Judo.eth,"GM Web3! ❤️

Following everyone who says it back! 🤝 https://t.co/wmiPNVKZc5",Tue Oct 08 08:37:07 +0000 2024,31,16621,703
36,Old two💜,"都在挖sui这个代币，记得一定要挖卖提，代币太多了，Mac一小时大概60RMB

链接：
https://t.co/qgMAwQN8Ne
推荐使用 #OKXWeb3 钱包
传送门：https://t.co/rGYRCvUIjC

参与步骤：
1️⃣右上角创建钱包
2️⃣复制私钥保存在OKX钱包
3️⃣充值2sui左右
4️⃣开始挖矿

如何卖
OK钱包导入私钥后在添加合约地址直接交易 https://t.co/qJEOey9eM2",Fri Oct 04 02:54:55 +0000 2024,151,607179,457
37,Kuroro Beasts,"Announcing our $2.5 million strategic round, with @SanctorCapital and @animocabrands as main investors, and featuring some of the top founders in the web3 gaming space. https://t.co/hYDNh50y3A",Wed May 29 22:05:07 +0000 2024,46156,426951,51949
38,Ryuzaki S◎L,"🚀 TOKO is LIVE! 🚀

@Tokosocialfi is an innovative project that combines elements of social influence, web3 gaming, and blockchain technology to create a captivating universe where users can train, fight, and wield creatures in thrilling battles. 

Here’s the contract address: https://t.co/SlZmMffZyX",Wed Oct 09 13:24:00 +0000 2024,5,686,21
39,Poka 🥑,"$3 | 45.000 IDR ~ 3 HOURS🐾 

• RT &amp; Follow @delegate_web3 https://t.co/20L4obcGci",Wed Oct 09 13:30:07 +0000 2024,80,249,16
40,O G,The Best Couples in Web3 https://t.co/0xaEGGszvr,Tue Oct 08 19:00:35 +0000 2024,14,47210,221
41,CoinMarketCap,"Healthy competition fuels innovation, and we're excited to see major players stepping into Web3! 🚀

Keep an eye out for the highly anticipated launch of $GMRX on March 26th. 
#Web3 #GMRX #Gamefi https://t.co/XSmNtsnfUM",Wed Mar 20 13:00:41 +0000 2024,5903,464360,9143
42,Web3｜龙猫,"🔥听说大A火了，KTV嫩模都是玩A股的先选，消费水平直线上升，飞机升舱，按摩质量都有明显提升

你错过了这波A股的盛宴了吗 https://t.co/iuacWzMw8i",Mon Sep 30 05:20:37 +0000 2024,0,44689,33
43,Nina 小耳朵,"虽然大熊气势汹汹
但遇见了Web3小饭局 和小伙伴们多吃两碗以后血条满了😋😋 https://t.co/8QUIz8aaIm",Sat Jun 10 11:22:16 +0000 2023,1,23998,71
44,Suhail Kakar,every single web3 website ever https://t.co/NUrlnHoctC,Tue Aug 13 10:17:13 +0000 2024,302,436850,5196
45,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"这种满嘴Web3 + AI的人，相当一批都是精神有问题的人，可能存在严重的妄想症。

我怀疑他们到底知不知道自己说的东西到底是什么。 https://t.co/9kNFLAGOjg",Wed Nov 15 07:58:18 +0000 2023,1,211353,54
46,Judo.eth,"GM Web3! ❤️

Following everyone who says it back! 🤝 https://t.co/qSOn2sBX2U",Sun Oct 06 08:38:42 +0000 2024,37,26677,822
47,Old two💜,"都在挖sui这个代币，记得一定要挖卖提，代币太多了，Mac一小时大概60RMB

链接：
https://t.co/qgMAwQN8Ne
推荐使用 #OKXWeb3 钱包
传送门：https://t.co/rGYRCvUIjC

参与步骤：
1️⃣右上角创建钱包
2️⃣复制私钥保存在OKX钱包
3️⃣充值2sui左右
4️⃣开始挖矿

如何卖
OK钱包导入私钥后在添加合约地址直接交易 https://t.co/qJEOey9eM2",Fri Oct 04 02:54:55 +0000 2024,151,607189,457
48,DANY,"GOOD MORNING WEB3!!

REPLY THIS THEN I’LL FOLLOW YOU BACK! https://t.co/0RYeMJzjjS",Tue Oct 08 05:30:58 +0000 2024,16,6532,414
49,bubits9000,"This is the best web3 game so far.

Change my mind. https://t.co/PBauiAYB8B",Sun Oct 06 15:03:50 +0000 2024,0,479,6
